Wavelength (nm);BWL;LWL;SWL;DL
380;0,0123232;0,0131242;0,00167491;6,29E+05
381;0,0029097;0,0239545;0,00160094;5,66E+06
382;0,0201698;0,0370853;0,00849849;0,000138825
383;0,0230918;0,0436829;0,00792982;0,00133805
384;0,015553;0,045514;0,0413762;0,0033068
385;0,00804538;0,0451451;0,0621028;0,00476319
386;0,000640634;0,0375037;0,0407813;0,00452587
387;0,00676411;0,0298623;0,0194599;0,00428854
388;0,00683554;0,0392953;0,0150067;0,00323292
389;0,023067;0,0508677;0,0126671;0,00207477
390;0,0194049;0,055362;0,0047153;0,00146008
391;0,000703127;0,0540049;0,0078762;0,00129466
392;0,0133018;0,0517059;0,0140263;0,00100027
393;0,00258303;0,0458342;0,00425655;0,000216729
394;0,0184679;0,0399626;0,0225394;0,000566816
395;0,00999464;0,0525091;0,040846;0,00109264
396;0,00204472;0,0677521;0,059156;0,00310975
397;0,00881675;0,0696787;0,0710473;0,00339913
398;0,0110738;0,0601909;0,0774367;0,00220756
399;0,0128833;0,0511872;0,0824601;0,00118677
400;0,0129799;0,0440359;0,0822556;0,000819547
401;0,0130764;0,0368846;0,0820511;0,000452325
402;0,0161463;0,0348866;0,0712498;0,000568316
403;0,0196276;0,0336015;0,0589823;0,000751161
404;0,027506;0,0331578;0,0567647;0,000794978
405;0,0389475;0,0333959;0,0626908;0,000726139
406;0,0506982;0,0342842;0,0690533;0,000861671
407;0,0634902;0,0373618;0,0768856;0,00168535
408;0,0762823;0,0404394;0,0847178;0,00250904
409;0,0796647;0,0250981;0,10403;0,00221209
410;0,082097;0,00789678;0,124502;0,00180198
411;0,094687;0,00506341;0,156041;0,00123653
412;0,114326;0,0122009;0,195261;0,000563285
413;0,135039;0,0180907;0,240505;6,53E+05
414;0,158579;0,0206943;0,301619;2,89E+05
415;0,18212;0,0232979;0,362734;7,50E+06
416;0,22403;0,0230382;0,438839;0,00118236
417;0,266649;0,0226679;0,515524;0,00241957
418;0,329627;0,0173217;0,603674;0,00274627
419;0,403407;0,00933541;0,697908;0,00258989
420;0,487073;0,00827722;0,821916;0,00230732
421;0,589361;0,0202693;1,00201;0,00178705
422;0,692882;0,0313725;1,18458;0,00124945
423;0,823775;0,0227601;1,42208;0,000327524
424;0,954667;0,0141478;1,65958;0,000594398
425;1,15305;0,00685745;2,01144;0,000176471
426;1,37483;2,57E+05;2,40296;0,000706169
427;1,63646;0,00115814;2,87185;0,00128118
428;1,94781;0,0122304;3,43729;0,00147224
429;2,2796;0,021144;4,03694;0,00155288
430;2,72701;0,0178472;4,83012;0,00100888
431;3,17442;0,0145504;5,6233;0,000464886
432;3,78465;0,0103596;6,68093;0,00063378
433;4,42168;0,00602174;7,78207;0,000919981
434;5,19537;0,00672155;9,12257;0,00102865
435;6,07204;0,0112172;10,6434;0,00100356
436;7,03351;0,0166848;12,3056;0,00130897
437;8,2077;0,0245907;14,3224;0,00244338
438;9,38308;0,0324433;16,3413;0,00357528
439;10,9579;0,0223972;19,0752;0,00386585
440;12,5327;0,0123512;21,8091;0,00415643
441;14,4457;0,012711;25,1189;0,00326424
442;16,4876;0,0170354;28,648;0,00192145
443;18,8161;0,0247094;32,6664;0,00102396
444;21,497;0,0365019;37,2864;0,000674001
445;24,3049;0,0466736;42,1161;0,000492281
446;27,7066;0,0492676;47,926;0,0010971
447;31,1084;0,0518616;53,736;0,00170191
448;35,1115;0,0542345;60,473;0,00129752
449;39,176;0,0565848;67,3049;0,000789905
450;43,4115;0,0568628;74,3237;0,00107141
451;47,7425;0,0559831;81,447;0,00179379
452;51,871;0,0536605;88,1536;0,00226041
453;55,6681;0,0489767;94,1784;0,0023085
454;59,2803;0,044099;99,8761;0,00227896
455;61,5428;0,0378051;103,184;0,0016825
456;63,8053;0,0315112;106,492;0,00108605
457;64,2267;0,0385491;106,657;0,00150659
458;64,3607;0,0476672;106,331;0,00208584
459;63,1578;0,0475729;103,848;0,00252636
460;61,111;0,0416642;100,004;0,00287932
461;58,5355;0,0365078;95,3558;0,00302282
462;55,0387;0,0326623;89,3065;0,00280133
463;51,4885;0,0305101;83,2004;0,0026098
464;47,5457;0,0408093;76,677;0,0026386
465;43,6029;0,0511085;70,1535;0,00266741
466;40,0334;0,0558025;64,335;0,00216113
467;36,5155;0,0597203;58,6141;0,00158075
468;33,462;0,056942;53,674;0,0018533
469;30,669;0,050407;49,1719;0,0026044
470;28,1379;0,0445984;45,0662;0,00315638
471;25,9894;0,0398507;41,5395;0,0034176
472;23,9023;0,0354208;38,112;0,00348288
473;22,1028;0,0324796;35,1497;0,00263047
474;20,3033;0,0295385;32,1873;0,00177806
475;18,7165;0,0311041;29,5179;0,00177917
476;17,141;0,0329114;26,8641;0,00182603
477;15,7065;0,0353187;24,4212;0,00201272
478;14,3252;0,0379525;22,0579;0,00225219
479;13,0528;0,0371366;19,8623;0,00221133
480;11,8866;0,0329603;17,8299;0,0018974
481;10,8003;0,0301532;15,9235;0,00175308
482;9,90861;0,0306839;14,3242;0,0020222
483;9,03819;0,0314935;12,7563;0,00228638
484;8,41534;0,0355535;11,5543;0,00249288
485;7,79249;0,0396135;10,3522;0,00269939
486;7,36679;0,0457386;9,40704;0,00192366
487;6,97029;0,0521697;8,49997;0,00100238
488;6,69797;0,0458673;7,75424;0,00068976
489;6,48773;0,0331985;7,08917;0,000681442
490;6,33447;0,0262791;6,48108;0,000491416
491;6,24644;0,0259406;5,93821;9,34E+05
492;6,1833;0,0278406;5,41583;0,000168022
493;6,18751;0,0358002;4,94892;5,97E+05
494;6,19831;0,0419916;4,48881;4,51E+05
495;6,28789;0,027027;4,11;0,000108157
496;6,37748;0,0120625;3,73119;0,000171205
497;6,53412;0,016783;3,39983;0,000700481
498;6,69918;0,0239753;3,07442;0,0012883
499;6,90232;0,0232206;2,80821;0,00110674
500;7,12149;0,0191196;2,56694;0,000601188
501;7,36688;0,0206217;2,34542;0,000183416
502;7,63619;0,0272361;2,14194;0,000154268
503;7,91282;0,0290528;1,95965;0,000160725
504;8,20328;0,0218055;1,8174;0,000458582
505;8,49256;0,0167088;1,67815;0,0010205
506;8,77623;0,0218682;1,55315;0,0013087
507;9,05982;0,0270011;1,42834;0,00159655
508;9,32806;0,0264012;1,34413;0,00180763
509;9,5963;0,0258013;1,25991;0,0020187
510;9,84506;0,0229949;1,18043;0,00174424
511;10,0901;0,0197681;1,10185;0,00137725
512;10,3179;0,0182672;1,0347;0,00163974
513;10,5376;0,0175811;0,972952;0,00219937
514;10,7336;0,0206023;0,919235;0,00261919
515;10,9079;0,0270072;0,872849;0,0029114
